SMILES,HADES,QED,DBPP_SCORE,MolSkill
Cc1ccc(NC(=O)Cn2nc(C)cc2C)cc1,0.09553905184878111,0.8996719933528312,0.0499984339604163,1.7769479
COc1cccc(CNC(=O)CCCO)c1OC,0.20536440253550303,0.7630728761713771,0.3376147022572486,10.555619
OCCCCCCCNC(c1ccccc1)c1ccccc1,0.8371431762414001,0.6405340039465347,0.4320738484585696,21.406427
OC(COCc1ccccc1)COCc1ccccc1,0.2616934648203303,0.8028030407460318,0.9978101578825836,4.9540143
O=C(C=Cc1ccc(CNCCCCO)cc1)NO,0.5874783155564144,0.2449055511618047,0.9538557494814024,13.009622
CCN(CC)S(=O)(=O)c1ccc(N)cc1,0.3086847593996515,0.7899749939204442,0.9991972268149028,1.5183924
COC(=O)CCCCCCCCCCCCCO,0.11408864080092077,0.4031915960844184,0.9997688021822582,20.960379
NNC(=O)NCCCCC1CCC2C(C1)C1C3C(O)CC3C21,0.11545239872805979,0.2693023847270062,0.0683610451516628,26.00318
O=C(C=Cc1ccc(O)cc1)Nc1cccc(F)c1,0.1156710457803177,0.8295331241602366,0.16775872470721,3.7348557
O=C(O)c1cc(Br)cc(Cc2ccccc2)c1O,0.9202856241891395,0.9129545903527984,0.8201261492390874,-2.3119318
Cc1cccc(Cc2ccccc2)c1OCCCCCCO,0.7159876516495354,0.689813252336535,0.8363190939693756,10.930749
Cc1ccc(C(=O)NCC(=O)NCCCO)cc1,0.11561483896839031,0.632086702033522,0.3331782673216584,-4.351619
CCCCCCC(=O)NO,0.008288926991434954,0.3493519970495408,0.999797665158842,17.292067
CCCCSc1nnc(-c2ccc(C)cc2)o1,0.032801165440794706,0.5932248872773542,0.0696201952660325,-2.8622942
O=C(O)CCCC(=O)c1ccccc1CO,0.43796103510273776,0.7169986973743094,0.9987828138247206,9.041728
Cc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1O,0.1448637761988466,0.8997634813628032,0.3487555740860251,3.9156008
CC(=O)COC(=O)c1ccccc1,0.014725773211280106,0.6574489780994308,0.9979153943227992,12.944106
CCOC(=O)C1CCN(C(=O)CCCCCO)CC1,0.1302360773045584,0.5603119985403086,0.7950923751753896,-5.574983
O=C(O)Cn1c(=O)oc2ccc(-c3ccccc3)cc21,0.9482310343424626,0.7917310596079695,0.0506048788147625,-6.5134354
CCCCCCOCCC,0.00036577586097147964,0.4990193328978258,0.9999029707290454,10.14042
Nc1cc(-c2ccccc2)ccc1CC(=O)O,0.9330749404604367,0.7919286063696154,0.998961912148,6.0919857
Cc1cc(C)cc(Oc2ccccc2C=O)c1,0.0694294006717518,0.7415821868777996,0.7207361232430549,11.455616
OCCCCCCc1ccc2ccccc2c1O,0.2600133857450902,0.7615388536822183,0.7146461155375614,13.399005
O=S(=O)(O)c1cccc2ccc(CCCCO)cc12,0.3772899167529269,0.6512044242655555,0.3384690745514924,12.4159355
CCC(CC)NC(=O)Nc1ccc(F)cc1F,0.1825734308522432,0.8354378887007979,0.138330883248986,-3.2327013
O=C(CCCCCCCO)CC(=O)Nc1ccccc1O,0.6789019719406773,0.3514458663960615,0.0944483006170565,17.812096
OCCCCCCCOc1ccccc1C1CCCCC1,0.6030042557317636,0.6443797658199326,0.6388640256442212,13.083377
Cc1nc(C(=O)O)c2ccccc2n1,0.1702545531755652,0.738370538531861,0.9868183525826724,-5.976246
CCNCCCCC1CCC2C(C1)C1C3C(O)CC3C21,0.22120187436897573,0.7314240368823619,0.02161608421843,28.837086
CC(=O)NNC(=S)NC(=O)c1ccccc1,0.745242020256792,0.4864700914055629,0.9881568703843892,16.281847
CCCCCCCCCOC(=O)c1ccc(OC)c(O)c1,0.6776665497330641,0.515868935971442,0.94609933070359,0.06428945
CCN1CCC(NCC2CCCCC2)CC1,0.06611101487643209,0.7895409725922485,0.0355522337775114,14.677421
OCCCCCOc1ccccc1C=Cc1ccc(Cl)cc1,0.45877716499081267,0.5451071511883641,0.7590832404738557,8.879643
Cc1cccc(C(=O)OO)c1,0.028912045239209334,0.4909930885003776,0.9995137990996192,14.857635
Cc1csc(NC(=O)c2cccc(C)c2C)n1,0.03548387092565368,0.8828182038480328,0.7192446516303793,-0.63244873
O=c1ccc(-c2ccc(CCCCCCCO)cc2)n[nH]1,0.07573725468202151,0.733235987892546,0.0420008302606156,8.871653
CC1CCN(C(=O)C2CCN(CCCCO)CC2)CC1,0.0927291936145925,0.7810767142985888,0.2403082150315517,0.4870547
Cc1c(O)ccc(C(=O)COc2ccc(F)cc2)c1O,0.26152320161509623,0.8425979638783504,0.0296976031891068,-2.7456646
CCCCCCCCNC(=O)Nc1ccccc1,0.07260962438211227,0.6660324584086816,0.9994822206106522,12.336042
CC(=O)Nc1c(C)cc(S(C)(=O)=O)cc1C,0.22663594666185266,0.8561941197065442,0.9984195583913456,-14.394486
Oc1ccccc1-c1nc2ccccc2o1,0.0841085029528416,0.6718631564136741,0.9225499055076998,0.5022286
Cc1cc(C)cc(NC(=O)c2ccc(N)cc2)c1,0.0746936141355347,0.7922100087881018,0.9971980347997172,10.369434
Cc1cccc(CN2CCN(CCCCCCO)CC2)c1,0.17699119007449485,0.7457434763426815,0.4480077514666176,3.6416664
O=C(O)CCCCCCCCNC(=O)CBr,0.1756381704561988,0.4797736479987088,0.9992383413087976,23.28867
OCCCOc1ccc(Cc2ccccc2)cc1,0.5295961032236918,0.788891786342303,0.5349441966461651,9.61341
CCCOc1ccccc1OCCC(C)C,0.1267808702433395,0.6962580345617363,0.8579518918257598,8.288605
Nc1ccc(Cl)cc1[N+](=O)[O-],0.38625553977268406,0.3992148344781813,0.9990403650478468,7.4802947
OCCCNCCCCOc1ccccc1-c1ccccc1,0.927696763450566,0.6599475691769574,0.1553776624097041,9.773194
